道具id;道具名称;描述;稀有度
450722;赤红舍利;佛祖的内脏舍利，鲜红如鲜血一般，是佛家的珍贵宝物。;暗金
450723;道祖炉鼎;供奉在道祖像前多年的炉鼎，沾染了些许道祖的仙气。;暗金
450724;白瓷观音像;来自福建德化的白瓷，所请的观音像洁白无暇，好似白玉一般。;暗金
450725;百战护心镜;本是普铁护心镜，却是上阵经百战，要问此镜妙在哪，逢战必定好运随。;暗金
450726;常满酒瓶;世上怎可能有倒不光的酒，只有说不尽的故事。我有故事，你有酒吗？;暗金
450727;养心经;养心，止战。江湖纷扰，退出江湖才是终了，却又如何能退了。;暗金
450728;空空布袋;一个空空如也的布袋，有的人看到它什么都没有，有的人看到它可以装下所有。;暗金
450729;无尽酒葫芦;没有无尽的酒，只有无尽的愁。借酒浇愁愁更愁。;暗金
450730;豪杰令;将所有江湖高手尽数踩于脚下的证明;暗金
450731;沈炎手札;沈炎的手札;暗金
450732;无量山绘卷;无量山的绘图，展示了无量山的“高耸入云不可跻，面大不可丈量”;暗金
450733;烈焰珠;烈焰无情，伤人无形;暗金
450734;梦华珠;;暗金
450735;天罡珠;;暗金
450736;摄魂珠;;暗金
450737;玄武盾;;暗金
6000820;《拳掌精通-初学》天书;;绿
6000821;《奇门精通-初学》天书;;绿
6000822;《医术精通-初学》天书;;绿
6000823;《暗器精通-初学》天书;;绿
6000824;《刀法精通-初学》天书;;绿
512185;《赤焰刀法》秘籍;;紫
512186;《对月纵酒歌》秘籍;;蓝
512187;《玄铁巨剑法》秘籍;;暗金
512188;《飞天摧星功》秘籍;;蓝
512189;《刀霸秘典》秘籍;;暗金
512190;《棍王秘典》秘籍;;暗金
512191;《剑圣秘典》秘籍;;暗金
512192;《暗器秘典》秘籍;;暗金
512193;《腿皇秘典》秘籍;;暗金
512194;《药王秘典》秘籍;;暗金
512195;《内功秘典》秘籍;;暗金
512197;《血刃魔刀》秘籍;;暗金
512198;《傲笑狂刀》秘籍;;金
512199;《拳皇秘典》秘籍;;暗金
512213;《江湖棍法》秘籍;;白
512214;《江湖腿法》秘籍;;白
512215;《江湖暗器》秘籍;;白
512216;《江湖剑法》秘籍;;白
512217;《江湖拳法》秘籍;;白
6000858;《长生门内传弟子》天书;;橙
6000859;《腿法精通-初学》天书;;绿
512220;《江湖刀法》秘籍;;白
430301;铜线鞋;;蓝
430302;慈母补丁鞋;这个江湖上还有一个同名的传家宝，如果想要的话，那就用观察按钮去找吧，我全部都放在那里！;蓝
430303;霜姗姗的绣鞋;霜家天下第一裁缝亲自绣的绣花鞋;蓝
430304;段家鞋;段母为儿子缝制的鞋子，一针一线都倾注着对儿子的爱;橙
430305;大小姐的绣鞋;大小姐的绣鞋;蓝
6000866;《拳掌精通-熟练》天书;;蓝
6000867;《内功精通-熟练》天书;;蓝
6000868;《腿法精通-熟练》天书;;蓝
6000871;《吸血-初学》天书;;蓝
6000872;《减速抗性》天书;;绿
6000873;《流血抗性》天书;;绿
512234;《一掷千金》秘籍;;暗金
6000875;《中毒抗性》天书;;绿
6000876;《内伤抗性》天书;;绿
6000877;《残废抗性》天书;;绿
6000878;《恢复真气》天书;;绿
6000879;《真气上限》天书;;蓝
6000880;《吸血-熟练》天书;;金
6000881;《恢复生命-初学》天书;;绿
6000882;《反击》天书;;金
6000883;《恢复生命-熟练》天书;;蓝
6000901;《拳掌精通-珍稀》天书;;金
6000902;《腿法精通-珍稀》天书;;金
500000;《拍手十二拍》残章;;暗金
500001;《饺子十八式》残章;;暗金
500002;《芳香腿法》残章;;暗金
500003;《缺陷九式剑法》残章;;暗金
500004;《香艳剑法》残章;;金
500005;《漫天福利雨》残章;;暗金
500006;《缺陷连珠镖》残章;;暗金
500007;《挨打神功》残章;;暗金
500010;《踩踏》残章;;白
500011;《无双踩踏》残章;;蓝
500012;《踏破千军》残章;;橙
500013;《紫光玄武震》残章;;暗金
500014;《毒液》残章;;白
500015;《十字斩》残章;;蓝
500016;《碧鳞不二斩》残章;;橙
500017;《灭魄断魂斩》残章;;暗金
500018;《毒蛛》残章;;白
500019;《擎天幻海功》残章;;蓝
500020;《紫炎灵蛛功》残章;;橙
500021;《寰宇妖典》残章;;暗金
500022;《利爪》残章;;白
500023;《飞鹰巨灵击》残章;;蓝
500024;《风之游燕功》残章;;橙
500025;《无定三界功》残章;;暗金
500026;《撕咬》残章;;白
500027;《野蛮撕咬》残章;;蓝
500028;《兽心破岳爪》残章;;橙
500029;《魔狼真火爪》残章;;暗金
500030;《利刃》残章;;白
500031;《七曜白光功》残章;;蓝
500032;《千山八歧秘法》残章;;橙
430401;银丝鞋;;紫
430402;伏虎僧鞋;名字听着挺厉害，其实就是一个基本的鞋子;紫
430403;六扇门弟子鞋;六扇门正式捕快的鞋，统一配备，结实耐用;紫
430404;云游四海履;云游四海履;紫
430405;武当八卦鞋;武当八卦套装之一装备全套后，没有任何特殊效果。;紫
430406;敏儿之鞋;敏儿之鞋;紫
430407;铸剑火布靴;;紫
500040;《掣雷如阳功》残章;;暗金
500041;《巨螯重击》残章;;白
500042;《九鼎蟹幽功》残章;;蓝
500043;《凌霄蟹幻法》残章;;橙
500044;《太虚问道功》残章;;暗金
500045;《毒刺》残章;;白
500046;《蛊风蝎蛊刺》残章;;蓝
500047;《火凝蝎毒经》残章;;橙
500048;《狂蝎毒典》残章;;暗金
754003;《上乘经验丹》配方;使用：学会“上乘经验丹”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;紫
754006;《上乘武学丹》配方;使用：学会“上乘武学丹”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;紫
6050142;《刚猛拳法》天书;;暗金
6050143;《一拳柱定》天书;;金
6050144;《放下屠刀》天书;;金
6050145;《牛刀小试》天书;;金
6050146;《宝刀未老》天书;;暗金
6050147;《舞刀弄枪》天书;;金
6050148;《夹枪带棒》天书;;金
6050149;《当头一棒》天书;;暗金
6050150;《风卷残云》天书;;金
6050151;《风驰雨骤》天书;;暗金
6050155;《中庸》天书;;暗金
6050156;《松柔慢匀》天书;;暗金
6050157;《阴阳刚柔》天书;;暗金
6050158;《中正安舒》天书;;暗金
6050159;《虎视眈眈》天书;;暗金
6050160;《饿虎扑食》天书;;暗金
6050161;《棍棍生风》天书;;暗金
6050162;《铁索横江》天书;;暗金
6050163;《人多势众》天书;;暗金
6050164;《汹汹气势》天书;;暗金
6050169;《冠绝天下》天书;;金
6050170;《横空一剑》天书;;金
6050171;《倚天秘法》天书;;金
6050172;《刚正不阿》天书;;暗金
6050173;《临危不乱》天书;;暗金
6050174;《川流不息》天书;;暗金
6050175;《不卑不亢》天书;;暗金
6050176;《惩奸除恶》天书;;金
6050177;《浩然正气》天书;;暗金
6050178;《速之玄机》天书;;金
6050179;《巧之玄机》天书;;金
6050180;《月朗星稀》天书;;暗金
500101;《鸡飞狗跳》残章;;绿
500102;《乞丐棍法》残章;;白
500103;《铁拐棍法》残章;;紫
500104;《打狗棍法》残章;;暗金
500105;《丐帮心法》残章;;绿
500106;《丐帮内传秘诀》残章;;紫
500107;《乞丐拳法》残章;;白
500108;《龙爪手》残章;;蓝
500109;《擒龙掌法》残章;;橙
500110;《降龙问天掌》残章;;暗金
500111;《地趟腿法》残章;;绿
500112;《游龙腿法》残章;;紫
500113;《打狗大阵》残章;;金
6050196;《游走识破1级》天书;;橙
414101;木护腿;;白
6050198;《游走识破3级》天书;;暗金
6050199;《鸾骞鹤舞》天书;;紫
6050200;《鸾骞鹤舞·极》天书;;橙
500121;《八门棍》残章;;橙
500122;《裂空腿》残章;;橙
6050203;《有凤来仪》天书;;紫
500124;《十八罗汉腿法》残章;;金
6001053;《一往无前》天书;;暗金
6050206;《有凤来仪·化》天书;;暗金
6050207;《倾国倾城》天书;;紫
6050208;《倾国倾城·极》天书;;橙
6050209;《倾国倾城·狂》天书;;金
6050210;《倾国倾城·化》天书;;暗金
430501;君子鞋;君子者，为人公正，明以其之道还治其身之理。;橙
430502;行者鞋;据传，这是郭鹏举当年在景阳冈买的，还挺保暖;橙
430503;金丝鞋;;橙
430504;赤焰鞋;马家赤焰鞋;橙
414145;武当拳套;武当正式弟子所配的拳套，款式精致，用料扎实;紫
70102;黑椒牛仔骨;在剧本中使用：增加一名队友190点生命值;白
70103;大盘羊肉;在剧本中使用：增加一名队友310点生命值;蓝
70104;香茅烤鱼;在剧本中使用：增加一名队友180点真气;白
70105;白面馒头;恢复全体3000生命。只可在迷宫中使用。;白
70106;虾皮萝卜;在剧本中使用：增加一名队友20点防御;白
70107;马家咸鱼;马清扬批量生产的所谓京城特供美食，忽悠不知情的人说是千年海盐腌制，故名曰咸鱼。在剧本中使用：增加一名队友190点生命值。;白
70108;橙色武器盒;在剧本中使用：选择一件特定类型的橙色武器;橙
70109;橙色武学书;记录了橙色品质武学，在剧本中使用：获得随机1个橙色品质武学秘籍;橙
70110;福源滚滚;打开后概率获得：橙色至暗金品质的武器 20%金色至暗金品质的菜肴 20%橙色至暗金品质的衣服 20%橙色至暗金品质的饰品 20%橙色至暗金品质的鞋子 20%;暗金
70111;刺激连环画;画着西域女子的连环画，阅读能增加不少人生经验。在剧本中使用：解锁漫画收藏《角色扮演8》，若已经解锁则全队获得5000点经验;白
70112;神秘松果;江湖异人携带的松果，似乎深受江湖上的某位侠客所喜爱。拜师后在剧本中使用：汉家松鼠成功加入队伍;暗金
70113;八卦阵图谱;记录有八卦阵的图谱，被武当派、全真教的道士奉为珍宝。拜师后在剧本中使用：张三丰加入队伍;暗金
70114;御膳叫花鸡;御膳房准备的叫花鸡，深受丐帮帮主东方小亮喜爱。拜师后在剧本中使用：东方小亮加入队伍;暗金
70115;御赐调遣令;御赐的调遣令，其意义六扇门人无人不知无人不晓。拜师后在剧本中使用：蒋义加入队伍;暗金
70116;雪花膏;具有强力美颜效果的一种膏霜，涂抹在皮肤上会立即像雪花般溶入皮肤。拜师后在剧本中使用：东方无敌加入队伍;暗金
70117;袈裟;一件袈裟，但上面似乎密密麻麻记载着不少东西……拜师后在剧本中使用：东方天下加入队伍;暗金
500201;《玄机弹指》残章;;暗金
500202;《玄机醉步》残章;;金
500203;《玄机剑法》残章;;绿
500204;《玉笛剑法》残章;;紫
500205;《百花剑法》残章;;金
500206;《眉来眼去剑》残章;;蓝
500207;《玄机心法》残章;;绿
500208;《沧海龙吟曲》残章;;金
500209;《奇门八式》残章;;紫
500210;《玄机掌法》残章;;白
500211;《三重劈空掌》残章;;蓝
500212;《百花掌法》残章;;橙
500213;《醉八仙掌法》残章;;暗金
414201;铁护腿;;绿
414202;铁甲马;铁质的护腿上阴刻有雄健骏马，牺牲了速度，威力大幅上升。用于练习基本功是个不错的选择。;绿
500219;《飞花摘叶镖》残章;;紫
500220;《一石三鸟》残章;;绿
500222;《捕风捉影腿》残章;;金
500223;《鸳鸯腿》残章;;蓝
500224;《太白剑法》残章;;金
500225;《追风逐日腿》残章;;暗金
500226;《坐忘心法》残章;;橙
500227;《玉环步》残章;;白
500228;《天地动》残章;;暗金
500229;《玄机腿法》残章;;橙
500230;《倾城腿法》残章;;暗金
500231;《翻云覆雨掌》残章;;暗金
500232;《风行腿法》残章;;紫
430601;牛皮防水鞋;铁掌门秘宝。精选头层牛皮，极品蜜蜡所制，渡江过河如履平地，江湖人人艳羡。;金
430602;正品耐磨鞋;莆田寺秘宝。为莆田神秘信徒供奉，样式新颖，款式精美，寻常鞋履视之相似却远不能及。;金
430603;兽头皮靴;;金
430604;素布阴阳道鞋;;金
430605;踏雪鞋;鞋底以金丝洋洋洒洒绣着四个大字“钱有子老”。;金
430606;走南闯北鞋;;金
430607;磁铁鞋;在鞋子内暗嵌了磁铁，可改变暗器的走向。;金
430608;玄铁靴;;金
414244;武当剑;武当正式弟子所配的长剑，款式精致，用料扎实;紫
70201;过桥米线;在剧本中使用：增加一名队友25点防御;绿
70202;京酱肉丝;在剧本中使用：增加一名队友260点生命值;绿
70204;煎扒青鱼;在剧本中使用：增加一名队友220点真气;绿
70205;红糖发糕;恢复全体10000生命。只可在迷宫中使用。;绿
701002;白衣教好感度;在剧本中使用：增加5点白衣教好感度。;紫
500301;《灵枢针术》残章;;蓝
500302;《雁行功》残章;;绿
500303;《长生剑法》残章;;白
500304;《回风吹雪剑法》残章;;蓝
500305;《五神剑法》残章;;橙
500306;《七十二峰飞仙剑》残章;;暗金
500307;《长生心法》残章;;绿
500308;《寿比南山功》残章;;金
500309;《延年益寿功》残章;;暗金
500310;《长生天风大阵》残章;;金
500311;《枯木逢春》残章;;白
500312;《歧黄之术》残章;;紫
500313;《金风玉露》残章;;蓝
500314;《清心静气》残章;;绿
500315;《天仙续命丹》残章;;橙
414301;铜护腿;;蓝
414302;鸳鸯护腿;;蓝
500319;《悬丝诊脉》残章;;蓝
500320;《生灭一指》残章;;暗金
500321;《气机倒灌》残章;;橙
500322;《经脉错乱针》残章;;橙
500323;《阴阳逆行针》残章;;暗金
500324;《金针秘传》残章;;白
500325;《悬壶济世》残章;;金
500326;《千金要方》残章;;暗金
430701;缎面金花鞋;这么适合女子的样式，江湖上可能也只有天阴教的“男子”会穿了。;暗金
430702;踏波飞云靴;镖局两大法宝之一，跑得快！;暗金
430703;千层百纳鞋;丐帮传帮信物，为历任丐帮帮主所穿。穿破不弃而续补一层，千层百纳不知传了多少代,坚固非常。;暗金
430704;八十斤铁鞋;少林祖传信物，戒律院长老所持。穿此铁鞋担水百里，劳身锻骨，兼修内外，事半功倍。;暗金
430705;大漠防沙靴;缝得细密厚实的防沙靴，在沙漠上行走如履平地。;暗金
430706;熟钢鞋;生产系统产出的基础暗金装备，属性较高，并无什么特殊能力。;暗金
430707;冷钢鞋;生产系统产出的基础暗金装备，属性较高，并无什么特殊能力。;暗金
430708;含刃靴;在靴底偷藏了小刀的靴子，施展腿法时能额外造成使敌人残废的效果。;暗金
430709;波云诡鞋;绣着海浪花样的精美靴子，行走时仿佛踏浪而行。;暗金
430710;无影无声鞋;鞋底非常软，走路悄无声息，非常便于藏匿行动。;暗金
430711;龙儿白雪靴;纯白素净的鞋子，就像踩着云一样。;暗金
430712;镇国将军靴;绣着海浪花样的精美靴子，行走时仿佛踏浪而行。;暗金
430713;乾坤阴阳道鞋;绣着海浪花样的精美靴子，行走时仿佛踏浪而行。;暗金
6001289;《胜友如云》天书;;暗金
6001295;《破锋八刀》天书;;金
6001296;《暴虎冯河》天书;;橙
955025;饮血刀图纸;使用：学会“饮血刀”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;橙
955026;天罗地网护腿图纸;使用：学会“天罗地网护腿”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;橙
955027;金锁棍图纸;使用：学会“金锁棍”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;橙
955028;托镖长戟图纸;使用：学会“托镖长戟”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;橙
955029;金线飞针图纸;使用：学会“金线飞针”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;橙
955030;经脉错乱针图纸;使用：学会“经脉错乱针”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;橙
6001303;《扼喉抚背》天书;;橙
6001304;《儡身再衍》天书;;橙
6001305;《操傀有道》天书;;金
6001306;《乘胜而击》天书;;暗金
70302;金钱云腿;在剧本中使用：增加一名队友30点防御;蓝
70303;三鲜鱼圆;在剧本中使用：增加一名队友240点真气;蓝
955040;擒龙拳套图纸;使用：学会“擒龙拳套”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;橙
70305;萝卜丝饼;恢复全体50%生命。只可在迷宫中使用。;蓝
443046;武当弟子挂饰;武当初入弟子所配的挂饰，款式朴素，结实耐磨;蓝
500401;《少林刀法》残章;;白
500402;《破魔刀法》残章;;蓝
500403;《慈悲刀法》残章;;紫
500404;《烈焰刀法》残章;;金
500405;《五虎断门刀》残章;;紫
500406;《普门杖法》残章;;绿
500407;《韦陀杖法》残章;;蓝
500408;《伏虎杖法》残章;;橙
500409;《达摩禅杖》残章;;暗金
500410;《少林心法》残章;;绿
500411;《金钟罩》残章;;紫
500412;《罗汉铜人功》残章;;金
500413;《少林烈阳功》残章;;橙
500414;《易筋经》残章;;暗金
500415;《炎炎功》残章;;蓝
500416;《罗汉拳》残章;;白
414401;银护腿;;紫
414402;柯氏伏魔腿;;紫
414403;游龙护腿;;紫
414404;玄阳护腿;;紫
414405;赤刀;赤刀门专属奇物，每当决斗胜利即可淬炼，淬炼度足够后便可升级为更强的赤刀，入门版;白
500422;《十二路谭腿》残章;;紫
500424;《少林连环腿》残章;;绿
500425;《十八罗汉阵》残章;;紫
500426;《金刚伏魔阵》残章;;金
6001388;《饱经霜雪》天书;;暗金
6001399;《孤身只影》天书;;金
70402;糖醋排骨;在剧本中使用：增加一名队友380点生命值;紫
70404;酥小鲫鱼;在剧本中使用：增加一名队友35点防御;紫
70405;玫瑰花饼;恢复全体100%生命。只可在迷宫中使用。;紫
70406;牡丹燕菜;在剧本中使用：增加一名队友290点真气;紫
70407;长江刀鱼;好吃的鱼肉。在剧本中使用：增加一名队友150点回合回真气;紫
500501;《武当身法》残章;;白
500502;《凌云功》残章;;紫
500503;《柔云剑法》残章;;绿
500504;《绵云柔剑》残章;;紫
500505;《神武剑法》残章;;金
500506;《太极剑》残章;;暗金
500507;《武当心法》残章;;绿
500508;《武当烈阳功》残章;;橙
500509;《太极神功》残章;;金
500510;《纯阳·童子功》残章;;暗金
500511;《武当长拳》残章;;白
500512;《破阵爪》残章;;绿
500513;《武当绵掌》残章;;蓝
500514;《摧心铁掌》残章;;紫
500515;《八卦掌》残章;;橙
500516;《虎爪功》残章;;橙
414501;金护腿;;橙
414502;傻姑的护腿;;橙
414503;唐布袋的护腿;;橙
414504;枯木护腿;内藏暗器;橙
414505;天罗地网护腿;;橙
6001450;《把薪助火》天书;;暗金
6001451;《太阿剑威》天书;;橙
6001452;《层层相护》天书;;橙
500526;《真武七星阵》残章;;金
6001455;《胜邪剑凶》天书;;暗金
6001457;《养精蓄锐》天书;;金
820019;成就-无惧丐帮;使用后可解锁成就：无惧丐帮;金
820024;成就-少林派的邀请;使用后可解锁成就：少林派的邀请;金
820025;成就-武当派的邀请;使用后可解锁成就：武当派的邀请;金
820026;成就-峨嵋派的邀请;使用后可解锁成就：峨嵋派的邀请;金
820029;成就-高朋满座;使用后可解锁成就：高朋满座;金
820035;成就-切磋新手;使用后可解锁成就：切磋新手;金
820037;成就-切磋达人;使用后可解锁成就：切磋达人;金
820038;成就-毒泷恶雾;使用后可解锁成就：毒泷恶雾;金
820040;成就-伤筋动骨;使用后可解锁成就：伤筋动骨;金
820041;成就-面无血色;使用后可解锁成就：面无血色;金
820042;成就-欲速反迟;使用后可解锁成就：欲速反迟;金
820043;成就-弃甲丢盔;使用后可解锁成就：弃甲丢盔;金
820044;成就-火眼金睛;使用后可解锁成就：火眼金睛;金
820045;成就-磨砻镌切;使用后可解锁成就：磨砻镌切;金
820046;成就-与世靡争;使用后可解锁成就：与世靡争;金
820047;成就-乐善好施;使用后可解锁成就：乐善好施;金
820048;成就-乞儿;使用后可解锁成就：乞儿;金
820050;成就-初入江湖;使用后可解锁成就：初入江湖;金
820053;成就-神州霸主;使用后可解锁成就：神州霸主;金
820054;成就-逆命翻身;使用后可解锁成就：逆命翻身;金
820056;成就-与世无争;使用后可解锁成就：与世无争;金
820057;成就-我才是丐帮帮主;使用后可解锁成就：我才是丐帮帮主;金
820062;成就-结盟丐帮;使用后可解锁成就：结盟丐帮;金
820064;成就-任务新手;使用后可解锁成就：任务新手;金
820066;成就-开封结局;使用后可解锁成就：开封结局;金
820068;成就-京城结局;使用后可解锁成就：京城结局;金
70501;虾爆鳝面;在剧本中使用：增加一名队友45点防御;橙
820070;成就-高僧;使用后可解锁成就：高僧;金
70503;三七汽锅鸡;在剧本中使用：增加一名队友490点生命值;橙
70504;龙井虾仁;在剧本中使用：增加一名队友410点真气;橙
820073;成就-海外神仙;使用后可解锁成就：海外神仙;金
820074;成就-京城白衣结局;使用后可解锁成就：京城白衣结局;金
820075;成就-杭州结局;使用后可解锁成就：杭州结局;金
820076;成就-杭州完美结局;使用后可解锁成就：杭州完美结局;金
820077;成就-杭州白衣结局;使用后可解锁成就：杭州白衣结局;金
820078;成就-广州结局;使用后可解锁成就：广州结局;金
820079;成就-广州完美结局;使用后可解锁成就：广州完美结局;金
820080;成就-广州白衣结局;使用后可解锁成就：广州白衣结局;金
820081;成就-大理结局;使用后可解锁成就：大理结局;金
820082;成就-大理完美结局;使用后可解锁成就：大理完美结局;金
820083;成就-大理白衣结局;使用后可解锁成就：大理白衣结局;金
820084;成就-金钱非万能;使用后可解锁成就：金钱非万能;金
820085;成就-妖女击退;使用后可解锁成就：妖女击退;金
820086;成就-钱乃万恶之源;使用后可解锁成就：钱乃万恶之源;金
820087;成就-妖女末日;使用后可解锁成就：妖女末日;金
820088;成就-隐忍之人;使用后可解锁成就：隐忍之人;金
500601;《峨嵋剑法》残章;;白
500602;《金顶穿花剑》残章;;橙
500603;《灭绝剑法》残章;;暗金
500604;《峨嵋心法》残章;;绿
500605;《峨嵋烈阳功》残章;;橙
500606;《峨嵋临济气功》残章;;金
500607;《峨嵋掌法》残章;;白
500608;《飘雪穿云剑》残章;;蓝
