天赋id;天赋名称;描述;稀有度
130;战不旋踵;撕裂伤口1级：所有武学对流血状态的敌人造成基础伤害+3%（可叠加至5级）;暗金
131;百战无前;赤刀门武学攻击流血目标后，自身提升暴击值+300，吸血率+5%，可叠加3次;暗金
132;背水一战;赤刀门所有武学，附加自身流血+20，造成基础伤害+15%;金
133;决战到底;赤刀门武学攻击流血目标时，有40%几率，造成基础伤害+30%;金
134;怯防勇战;任意恢复生命值时，提升100点攻击，可叠加10次;白
135;刀光寒影;开局第二次攻击，使用刀法武学附加流血+50;金
137;短兵相接;自身流血时，暴击值+400;橙
138;兵凶战危;生命值低于50%时，暴击值+600，暴伤值+800;金
139;单刀直入;抽刀断水1级：刀法武学伤害+4%;紫
140;一刀两断;赤刀门刀法武学首次攻击，基础伤害+30%;暗金
141;力敌千钧;每回合攻击+300，叠加3次;绿
142;刀头舔蜜;被刀系武学攻击时，基础伤害-10%;紫
144;五虎金刀;使用刀法武学攻击后附加流血+10;蓝
145;拜月血针;天阴教暗器对流血的敌人伤害+15%;金
146;吸星吞日;攻击时根据伤害量提升5%的真气（最大获得20000真气）;金
147;痛饮狂歌;战斗开始后敌方全体生命值减少30%（最多造成510000伤害）;暗金
148;日不移晷;生命值低于70%时，命中率+15%;紫
149;日升月恒;生命值低于50%时，暴击值+300;白
150;日就月将;生命值低于20%时，所有基础伤害+20%;暗金
151;月明千里;生命值低于5%时，立即回复5%的生命值（单局触发一次）;蓝
152;皓月当空;每次受击时获得受到伤害值*5%的护盾;绿
153;行者鞋+5;使用丐帮武学时，忽视防御率+10%;暗金
154;日月丽天;使用绝招后，获得相当于生命值*5%的护盾;蓝
155;爱日惜力;天阴教剑法武学50%概率造成30%的额外伤害;橙
156;偷天换日;天阴教腿法对减速的敌人伤害+15%;金
157;白日见月;天阴教武学暴击时，追加一次黑月神针（每回合至多生效一次）;暗金
160;日月参辰;攻击时，随机恢复3%生命值或3%真气（自身回合内生效，每个回合最多生效2次）;紫
162;今月古月;真气值低于50%时，每回合回真气+200;绿
163;毒泷恶雾;五毒教武学攻击时，50%概率造成30%的额外伤害;暗金
164;衡山群峰;合击率+5%，周围队友回合外伤害+1000;蓝
165;衡山群峰·极;合击率+5%，周围队友回合外伤害+1000;紫
166;何其毒也;暗中偷袭1级：所有武学对中毒状态的敌人造成基础伤害+3%（可叠加至5级）;暗金
167;蜂虿有毒;攻击中毒目标时，暴击值提升200;白
169;荼毒生灵;每回合对周围3*3的敌方目标施放中毒+15;暗金
170;衡山群峰·狂;合击率+15%，周围队友回合外伤害+1000+5%;橙
171;抗毒而生;攻击中毒层数大于50的目标时，自身恢复5%真气;紫
172;炼毒催功;使用毒系武学时，自身提升100点攻击，可叠加10次;绿
174;百炼毒腿;五毒教腿法武学攻击中毒目标时，造成基础伤害+10%;暗金
176;以毒攻毒;自身中毒时，每层中毒加五毒教武学伤害1%（最多增加10%）;暗金
177;宴安鸩毒;自身中毒时，提升其他5项负面抗性+10;绿
178;淬毒金腿;自身中毒时，使用腿法武学附加中毒+10;绿
179;剑法精通-无双;剑法精通+35;暗金
180;刀法精通-无双;刀法精通+35;暗金
181;暗器精通-无双;暗器精通+35;暗金
182;狼蜂猛毒;五毒教奇门攻击中毒大于10的目标时，造成基础伤害+10%;金
183;医术精通-无双;医术精通+35;暗金
184;奇门精通-无双;奇门精通+35;暗金
185;阳解阴毒;攻击中毒目标时，额外附加目标中毒强度*50点伤害;蓝
186;刮骨去毒;攻击中毒目标时，自身获得目标中毒强度*10的护盾;绿
187;衡山群峰·化;合击率+25%，周围队友回合外基础伤害+10%+1000;金
188;仁者医心;周围3*3队友提升武学攻击*5%的回合恢复生命值;紫
189;仁者医心·极;周围3*3队友提升武学攻击*8%的回合恢复生命值;橙
190;蛤蟆蹬腿;紫蟾神功招式附加当前腿法精通*3额外伤害;紫
191;雪域毒蟾;五毒教奇门武学威力百分比+10%;金
192;音画同鸣;闪避率+5%，开局获得真气的20%作为护盾;紫
193;折梅远送;《六阴破脉手》威力+30%;紫
194;神龙之威;自身中毒时，五毒教拳掌伤害+10%;金
195;拳掌精通-无双;拳掌精通+35;暗金
196;内功精通-无双;内功精通+35;暗金
197;腿法精通-无双;腿法精通+35;暗金
198;腿法精通-新手;腿法精通+5;白
199;屏气慑息;所有攻击附加减少敌人真气300;蓝
200;天行时气;开局后首次攻击，附加减少敌人真气10%;金
201;少气无力;所有武学暴击时，按伤害值的10%燃烧敌人真气;金
202;伤心疾首;逍遥仙宫武学攻击敌人基础伤害+10%;金
203;暗器精通-新手;暗器精通+5;白
204;盛气凌人;自身攻击大于目标时，所有武学最终基础伤害+10%;金
205;飞雪探梅;攻击+300;紫
206;北冥有鱼;生命值+2000;紫
207;拳掌精通-新手;拳掌精通+5;白
208;凌波仙子;掌握凌波仙子舞后，额外破招值+1000;金
209;刀法精通-新手;刀法精通+5;白
210;生死有命;六阴破脉手命中时，附加减少敌人真气800;绿
211;霜气横秋;逍遥仙宫武学攻击真气值低于50%的目标，最终基础伤害+20%;暗金
212;怨气满腹;攻击使目标每回合回真气-200，持续3回合;绿
213;剑法精通-新手;剑法精通+5;白
214;祥云瑞气;真气值+800;橙
215;奇门精通-新手;奇门精通+5;白
217;归全反真;所有武学额外消耗500真气，附加伤害500点;白
218;返璞归真;全真教剑法，按伤害值5%获得护盾;紫
219;真金不镀;全真教拳法，按伤害值5%减少敌人真气（最多造成10000点真气燃烧）;蓝
222;怀真抱素;全真武学伤害+15%;暗金
223;全力以赴;自身真气值低于50%时，全真教武学造成基础伤害+20%;金
224;抱朴含真;生命值百分比越低，回合回真气提升越多，最多提升2000点回合回真气;蓝
225;全真七子;战斗中，角色每拥有一门全真外功武学，全真教剑法武学威力百分比为+5%（最多增加35%）;暗金
226;文武双全;全真教拳法，额外消耗自身最大真气的5%，自身获得强壮+30;橙
227;修真养性;所有武学攻击后，自身获得调息+20（自身回合内生效，每个回合最多生效2次）;紫
228;真金烈火;每当队友退场时，获得最大生命值15%护盾和15%真气;暗金
229;通真达灵;自身真气值低于10%时，每回合回真气+500;白
230;一举两全;每次受击时，恢复100真气;白
231;弃伪从真;真气值>50%时，受到基础伤害-15%;金
28904;北堂世家·反击率;;紫
234;铁臂神拳;每回合攻击+100，可叠加3次;绿
236;冰冻三尺;腿法攻击附加敌方减速+5;绿
237;再接再厉;宇文山庄所有武学附加伤害+1000;蓝
238;浮生若梦;宇文山庄外功攻击后附加敌人减速+10;橙
239;铁马冰河;腿法攻击后附加自身轻盈+10;金
240;未雨绸缪;宇文山庄武学攻击后可增加自身抗连击值+500，持续1回合（仅增加1次，不可叠加）;橙
241;左提右携;提升角色连击值，提升值为命中值的20%（最多增加1500）;金
242;雷霆万钧;宇文山庄武学绝招率+10%;金
243;金戈铁马;宇文山庄外功对拥有减速的敌人基础伤害+10%;金
244;寸步难行;使用宇文山庄外功武学攻击后，使敌人的行动移动格子数-1，持续两回合（若敌人的行动移动格子数小于1则不再降低）;暗金
245;勇往直前;宇文山庄拳法攻击后附加自身疗伤+10，调息+10;紫
246;滔滔不绝;每次受到攻击，下次使用宇文山庄武学基础伤害+2%，可叠加10次，最多持续2回合;暗金
247;左宜右有;连击的招式，造成基础伤害+30%;金
248;刚正不阿;自身每拥有五项正面状态中的一种，基础伤害+5%，最高增加25%;蓝
255;剑法精通-优秀;剑法精通+20;紫
256;锐不可当;如意宫武学攻击后，自身获得坚韧+15;紫
257;遮天蔽日;暗月刀法额外附加破甲+30;橙
258;休养生息;生命值低于30%时，攻击后恢复5%生命值（每回合生效一次）;紫
259;勇猛精进;如意宫外功攻击后附加敌人破甲+10;紫
260;阴阳逆流;使用秘奥义·颠倒乾坤后，四项基础属性（生命、真气、攻击、防御）提升5%;橙
261;风声鹤唳;如意宫外功武学附加敌人内伤+5;蓝
262;破釜沉舟;攻击时，自身生命值每低5%，吸血率+1%，最高提升15%吸血率;金
263;身经百战;刀法武学攻击拥有内伤的敌人时，基础伤害+10%;橙
264;欲擒故纵;生命值低于50%时，防御值+100;绿
265;势如破竹;每次受到治疗后，可使后续治疗效果增加5%，可叠加3次;橙
266;天地重合;生命值低于30%时，天残神脚绝招率+10%;橙
267;兵戎相见;处于自身行动回合内，自身防御降低20%，攻击附基础伤害+10%;金
268;不动冥王;被内功武学攻击时，基础伤害-10%;紫
269;阴阳倒转;受到单次大于自身生命10%的伤害时，下次受到攻击基础伤害-20%（每场战斗最多生效3次）;暗金
270;龙血玄黄;自身生命低于50%时，如意宫武学伤害的增加20%;暗金
274;一力当先;开局时自动获得铸剑蓄力层数+1;金
279;刀法精通-优秀;刀法精通+20;紫
280;暗器精通-优秀;暗器精通+20;紫
281;奇门精通-优秀;奇门精通+20;紫
282;湛卢剑气;每回合开始时，自动获得铸剑蓄力层数+1;暗金
284;洪炉点雪;受到攻击时自身获得铸剑蓄力层数+1，受到所有基础伤害+5%（该效果每回合生效1次）;橙
285;重起炉灶;暴击时获得铸剑蓄力层数+1（该效果每回合生效1次）;紫
287;碧霞悠哉;每点铸剑蓄力使铸剑山庄武学威力百分比+5%;暗金
289;冰肌雪肤;回合开始时，10%几率获得寒冰真气1层;暗金
290;心若炎炎;回合开始时，10%几率获得烈火真气1层;暗金
291;寒气绕体;战斗开始时，自动获得寒冰真气几率+10%;金
292;炎气护身;战斗开始时，自动获得烈火真气几率+10%;金
293;一鼓作气;主动释放武学所获得的龙门真气（寒冰真气与烈火真气）层数+1;金
294;生机勃勃;所有自动获得的龙门真气（寒冰真气与龙门真气）层数+1;金
295;接踵而至;所有奇门多段攻击武学，多段攻击次数+1;暗金
296;清川长薄;回合开始时，如拥有任意龙门镖局真气或烈阳真气，获得生命值*3%的护盾;橙
297;气势汹汹;释放《冰火相融诀》时，对周围3*3目标造成武学等级*1000点伤害;金
298;拳掌精通-优秀;拳掌精通+20;紫
299;腿法精通-优秀;腿法精通+20;紫
301;暴雨如注;每回合暴击值+100，可叠加3次;绿
302;复归嵩岑;拥有任意一种龙门镖局真气时，受到攻击时基础伤害-10%;紫
303;日和风暖;回合开始时，如有烈火真气，回复生命值3%+1000;蓝
304;寒木春华;回合开始时，如有寒冰真气，回复真气3%+1000;绿
305;青天白龙;拥有任意一种龙门镖局真气时，绝招触发概率+10%;暗金
306;摧折豪强;拥有烈火真气时，暴击抵抗值+200;蓝
307;气贯长虹;《天长掌法》威力百分比+3%;蓝
308;山高水长;所有恒山外功武学攻击后，有20%几率额外打出《天长掌法》（不含《天长掌法》，和其他几率叠加）;橙
309;寒花晚节;恒山派剑系武学威力百分比+2%;紫
310;花朝月夕;恒山派剑法攻击后，自身获得轻盈+30;橙
311;闪转腾挪;闪避敌人攻击后，获得最大生命值5%护盾和真气（每回合最多触发2次）;紫
312;镜里观花;每回合闪避值+100，可叠加3次;紫
313;见缝插针;闪避敌人攻击后，对攻击者施放《醉拳》;橙
314;三才断崖;恒山派奇门武学威力百分比+2%;紫
315;仙人指路;恒山派奇门武学暴击后，自身闪避率+10%，持续1回合;蓝
316;霍然而愈;每回合获得疗伤+10;绿
317;仙露明珠;自身疗伤>50时，受到所有基础伤害-20%;橙
318;承天之佑;受到攻击后，获得自身最大生命值1%的护盾（每回合最多触发3次）;紫
324;按强助弱;对队友援护防御时，为队友增加攻击*15%点护盾;绿
325;一张白纸;所有精通+10;绿
326;擅长用刀;刀法精通+30;白
327;擅长用剑;剑法精通+30;白
328;擅长用拳;拳掌精通+30;白
329;擅长用腿;腿法精通+30;白
330;擅长奇门;奇门精通+30;白
331;擅长暗器;暗器精通+30;白
332;主角光环;可学武学数量上限+1;暗金
333;腿法如风;少林腿法武学额外附加腿法精通*1的伤害;紫
334;剑法精通-极品;剑法精通+25;橙
335;孤儿;每回合恢复生命值+50，每回合回真气+50;白
336;刀法精通-极品;刀法精通+25;橙
337;暗器精通-极品;暗器精通+25;橙
338;与剑为伍;所有剑系招式基础伤害+5%;紫
339;奇门精通-极品;奇门精通+25;橙
340;盘马弯弓;生命值低于30%时，攻击基础伤害+20%;金
341;铁手铜臂·化;残废抗性+100;暗金
342;老僧入定·化;内伤抗性+100;暗金
343;老实人;生命值+1000;蓝
344;玄机少主;玄机门武学等级上限+2;暗金
345;金戈铁甲·化;破甲抗性+100;暗金
346;潜心向佛;所有少林寺武学威力百分比+1%;紫
347;大理少主;《六脉齐发》威力百分比+20%;暗金
348;习惯用剑;使用剑法武学时，基础攻击+5%;白
349;苦命少年;生命+2000，真气+1000;绿
350;与刀为伍;所有刀系招式基础伤害+5%;橙
351;习惯暗器;使用暗器武学时，基础攻击+5%;白
352;习惯用刀;使用刀法武学时，基础攻击+5%;白
353;龙胆;闪避值+100，生命值低于50%时，闪避值再加200;紫
354;仇恨蒙心;命中率-10%，暴伤值+1000;金
355;大侠之心·化;攻击+750，拳掌精通+75，《降龙问天掌》威力增加50%，连招率+50%;暗金
356;弹指真传;所有多段攻击次数+1;暗金
357;百年情愫;生命值<50%时受到基础伤害-20%;金
358;流星蝴蝶·完美;全真教武学等级上限+1，《玄铁巨剑法》、《伤心欲绝掌》威力+50%;暗金
359;毒系大成;毒系武学基础伤害+15%;金
360;剑神传人·极[-];九式·求败剑诀威力+20%，破招率+20%;橙
361;真气周转;真气>80%时，造成所有基础伤害+10%，真气恢复+500;金
362;熟能生巧;连招率+10%;金
363;蛮勇无敌;攻击+200;紫
364;铜皮铁骨;比一般人更抗打，防御+10%;紫
365;轻灵敏捷;比一般人行动更快，速度值+20;紫
366;聪慧过人;比一般人更聪明，生命值+10%;紫
367;生命值顽强;生命值+2000;紫
368;内劲深厚;攻击附加300点额外伤害;紫
369;无法无天;自身仁义值每低于-70一点，基础伤害+1%;金
370;毒宗体;自身中毒时提升武学伤害，每2层毒基础伤害+1%（最大基础伤害+20%）;橙
371;毒圣体;自身中毒时提升生命和每回合恢复生命值，每层毒提升500点生命、100点恢复生命值;绿
372;免疫力强;每回合自动解除10层基础负面状态;蓝
373;武学精通;破招值提升300;橙
374;天人化生;造成基础伤害+25%，受到暴击基础伤害+25%;暗金
375;太极高手;精通太极，《太极剑》《太极拳》暴击值增加600;蓝
376;酒不离口;每回合有20%概率进入醉酒状态;绿
377;外表抱歉;敌人攻击时有30%几率强制以自己为目标;蓝
378;孤军奋战;每失去2%生命值，造成基础伤害+1%（最多提升30%）;暗金
379;拳掌精通-极品;拳掌精通+25;橙
380;腿法精通-极品;腿法精通+25;橙
381;学武奇才;战斗产出武学经验+50%（不可叠加生效）;紫
382;锯齿大刀;刀系招式暴击时，有20%几率附加流血+20;白
383;真气恢复;内功系招式每击中一个目标，恢复自身300真气;绿
384;习惯用腿;使用腿法武学时，基础攻击+5%;白
385;毒王;造成所有中毒状态+10强度，自身有中毒时，造成所有中毒状态+20层数;金
387;不动如山;拥有护盾时，自身真气+5%;绿
388;内劲流转;受到内功招式攻击时，提高3%生命，可叠加5次;紫
389;渐入佳境;单次攻击每消耗10%以上真气，都会在单局内永久提升1%绝招触发几率（最多提升20%）;金
392;轻快追击;你的每次暴击，都会立即加速行动条进度10%（最多生效3次）;橙
393;防御气场;使用任何奇门招式时，获得相当于3%伤害的护盾;蓝
394;伺毒而动;每当有敌人受到中毒伤害时，自身行动条前进10%（每次单位回合外只能生效2次）;紫
395;污毒;造成流血时，有20%几率同时附加10点中毒;绿
396;以牙还牙;自身有流血时，吸血率提升30%;金
397;精准;暗器招式暴击值提升400;金
398;习惯用棍;使用奇门武学时，基础攻击+5%;白
399;下绊子;攻击后降低敌方10%的基础攻击，持续2回合;金
400;习惯用拳;使用拳法武学时，基础攻击+5%;白
401;天赋异禀;基础攻击+5%;橙
402;穷追不舍;你的所有外功攻击，对受到内伤的角色，造成基础伤害+15%;暗金
403;绅士;对所有女性角色造成基础伤害+10%，受到女性角色攻击基础伤害+10%;紫
404;迅疾如风;自身回合时，每移动一格，可以解除自身减速效果20点;绿
405;剑法奇才;使用剑法武学时，基础攻击+10%;橙
406;刀法奇才;使用刀法武学时，基础攻击+10%;橙
407;精力充沛;当前真气值越高，暴击值越高，最高提升500;绿
408;找准弱点;对生命值小于10%的目标，总是能造成暴击;橙
409;拳掌奇才;使用拳掌武学时，基础攻击+10%;橙
410;腿法奇才;使用腿法武学时，基础攻击+10%;橙
411;急性子;当获得轻盈时，行动条立即前进10%（自身的一个行动回合内最多生效1次）;紫
412;棍法奇才;使用奇门武学时，基础攻击+10%;橙
413;暗器奇才;使用暗器武学时，基础攻击+10%;橙
416;岁寒三友;攻击后自身攻击+150，可叠加3次;蓝
417;剑术宗师;使用所有剑术造成的最终基础伤害+10%;金
419;一代宗师;所有武学等级+1;暗金
420;练武奇才;可学武学数量上限+2;暗金
421;天资聪颖;战斗产出武学经验+100%（不可叠加生效）;金
422;先天真气;战斗开始时，获得真气值20%的护盾;金
425;唐门三老;暗器造成最终基础伤害+20%，暗器精通+10;暗金
426;穿肠破肚;奇门武学招式附加流血+5;蓝
427;奇门遁甲;奇门武学招式造成最终基础伤害+10%;橙
428;愁深似海;内功招式威力百分比+2%;金
429;六脉真气;拳系招式攻击时，额外附加当前攻击*5%的伤害;蓝
430;无相转生;奋起1级：退场时50%概率再次登场，恢复10%生命和真气，一场战斗触发一次，（最高叠加到4级）;暗金
432;根基稳固;被击时30%几率免疫击退和吸附效果;橙
433;百毒不侵·化;中毒抗性+100;暗金
434;独孤求败;剑法武学命中率+50%;金
435;火眼金睛;攻击时30%几率免疫反击;橙
436;长生不老;不会被吸血;暗金
437;易筋洗髓·狂;被击时50%几率免疫被吸真气及真气燃烧效果;金
438;鬼魅身段;攻击时30%几率免疫反弹;橙
439;虚无缥缈;减速抗性+50;橙
448;渣男;对女性基础伤害+10%受到女性基础伤害+10%;蓝
449;仁道小成;每月仁义值+2（仁义值大于50后不再增加）;绿
450;断衫;刀法精通、剑法精通+50;橙
451;灵指;命中率-10%受到暗器基础伤害-5%;紫
452;缓慢;生命值+2000，速度值-10;橙
453;活动生命值;在活动中，生命值大幅提升;白
454;忠诚守护;不上阵时可在场边助战：所有上阵队友受到基础伤害-5%;绿
463;碎岩术1级;【冒险】有助于通过巨岩障碍,碎岩术1级;白
464;碎岩术2级;【冒险】有助于通过巨岩障碍,碎岩术2级;绿
465;血气方刚;造成伤害、受到基础伤害+10%;绿
466;寒玉玉佩;《玉女清心经》等级上限+2;暗金
468;场外支援;【唯一】可以作为辅助角色上场;暗金
470;安常守故;造成伤害、受到基础伤害-10%;绿
471;主持正义;所有武学附加伤害+1000;蓝
472;天阴控心丹;;暗金
473;无惧丐帮;受到丐帮武学基础伤害-30%;金
474;采药1级;【冒险】可以采集大地图上的药田,采药1级;白
475;机关术1级;【冒险】有助于通过机关障碍,机关术1级;白
476;采药2级;【冒险】可以采集大地图上的药田,采药2级;绿
477;碎岩术5级;【冒险】有助于通过巨岩障碍,碎岩术5级;橙
